symbol,isin,name,currency,size,domicile,exchange,instrument,ter,ticker,wkn
LU1135865084,LU1135865084,Amundi Core S&P 500 Swap UCITS ETF Acc,EUR,12391.0,Luxembourg,"gettex, London, Euronext Paris, Stuttgart, SIX Swiss Exchange, Borsa Italiana",ETF,0.05,LYP7,LYX0Q9
IE00B4X9L533,IE00B4X9L533,HSBC MSCI World UCITS ETF USD,USD,12372.0,Ireland,"gettex, XETRA, London, Euronext Paris, Stuttgart, SIX Swiss Exchange, Borsa Italiana",ETF,0.15,H4ZJ,A1C9KK
IE000BI8OT95,IE000BI8OT95,Amundi Core MSCI World UCITS ETF Acc,USD,11849.0,Ireland,"gettex, XETRA, London, Euronext Paris, SIX Swiss Exchange, Borsa Italiana, Euronext Amsterdam",ETF,0.12,MWRE,ETF146
IE000XZSV718,IE000XZSV718,SPDR S&P 500 UCITS ETF (Acc),USD,11367.0,Ireland,"gettex, XETRA, London, SIX Swiss Exchange, Borsa Italiana, Euronext Amsterdam",ETF,0.03,SPYL,A3EUC1
IE00B3F81R35,IE00B3F81R35,iShares Core EUR Corporate Bond UCITS ETF (Dist),EUR,10255.0,Ireland,"gettex, XETRA, London, Stuttgart, SIX Swiss Exchange, Borsa Italiana, Euronext Amsterdam",ETF,0.09,EUN5,A0RGEP
IE00B1YZSC51,IE00B1YZSC51,iShares Core MSCI Europe UCITS ETF EUR (Dist),EUR,10254.0,Ireland,"gettex, XETRA, London, Stuttgart, SIX Swiss Exchange, Borsa Italiana, Euronext Amsterdam",ETF,0.12,IQQY,A0MZWQ
IE00BMTX1Y45,IE00BMTX1Y45,iShares S&P 500 Swap UCITS ETF USD (Acc),USD,10071.0,Ireland,"gettex, XETRA, London, SIX Swiss Exchange, Borsa Italiana, Euronext Amsterdam",ETF,0.05,I500,A2QAJB
FR0013416716,FR0013416716,Amundi Physical Gold ETC (C),USD,9737.0,Ireland,"gettex, XETRA, London, Euronext Paris, Borsa Italiana, Euronext Amsterdam",ETC,0.12,GLDA,A2UJK0
IE0032077012,IE0032077012,Invesco EQQQ Nasdaq-100 UCITS ETF,USD,9511.0,Ireland,"gettex, XETRA, London, Euronext Paris, Stuttgart, SIX Swiss Exchange, Borsa Italiana",ETF,0.3,EQQQ,801498
IE00BJ0KDR00,IE00BJ0KDR00,Xtrackers MSCI USA UCITS ETF 1C,USD,9152.0,Ireland,"gettex, XETRA, London, Stuttgart, SIX Swiss Exchange, Borsa Italiana",ETF,0.07,XD9U,A1XB5V
IE00BF4G7076,IE00BF4G7076,JPMorgan US Research Enhanced Index Equity (ESG) UCITS ETF USD (acc),USD,8948.0,Ireland,"gettex, XETRA, London, Stuttgart, SIX Swiss Exchange, Borsa Italiana",ETF,0.2,JREU,A2DWM7
DE0002635307,DE0002635307,iShares STOXX Europe 600 UCITS ETF (DE),EUR,8575.0,Germany,"gettex, XETRA, Stuttgart, SIX Swiss Exchange, Borsa Italiana",ETF,0.2,EXSA,263530
DE0005933931,DE0005933931,iShares Core DAX® UCITS ETF (DE) EUR (Acc),EUR,8545.0,Germany,"gettex, XETRA, Stuttgart, SIX Swiss Exchange, Borsa Italiana, Euronext Amsterdam",ETF,0.16,EXS1,593393
DE0005933956,DE0005933956,iShares EURO STOXX 50 UCITS ETF (DE),EUR,8406.0,Germany,"gettex, XETRA, Stuttgart, SIX Swiss Exchange",ETF,0.09,EXW1,593395
