isin,ticker,exchange,name,currency,ter
LU1135865084,SP5C,SIX Swiss Exchange,Amundi Core S&P 500 Swap UCITS ETF Acc,USD,0.05
LU1135865084,LYP7,Stuttgart Stock Exchange,Amundi Core S&P 500 Swap UCITS ETF Acc,EUR,0.05
IE00B4X9L533,HMWO,London Stock Exchange,HSBC MSCI World UCITS ETF USD,GBX,0.15
IE00B4X9L533,H4ZJ,gettex,HSBC MSCI World UCITS ETF USD,EUR,0.15
IE00B4X9L533,H4Z3,Stuttgart Stock Exchange,HSBC MSCI World UCITS ETF USD,EUR,0.15
IE00B4X9L533,HMWD,Borsa Italiana,HSBC MSCI World UCITS ETF USD,EUR,0.15
IE00B4X9L533,WRD,Euronext Paris,HSBC MSCI World UCITS ETF USD,EUR,0.15
IE00B4X9L533,HMWD,London Stock Exchange,HSBC MSCI World UCITS ETF USD,USD,0.15
IE00B4X9L533,HMWO,SIX Swiss Exchange,HSBC MSCI World UCITS ETF USD,USD,0.15
IE00B4X9L533,H4ZJ,XETRA,HSBC MSCI World UCITS ETF USD,EUR,0.15
IE000BI8OT95,MWRD,Borsa Italiana,Amundi Core MSCI World UCITS ETF Acc,EUR,0.12
IE000BI8OT95,MWRE,gettex,Amundi Core MSCI World UCITS ETF Acc,EUR,0.12
IE000BI8OT95,WRDU,Euronext Amsterdam,Amundi Core MSCI World UCITS ETF Acc,USD,0.12
IE000BI8OT95,MWRD,Euronext Paris,Amundi Core MSCI World UCITS ETF Acc,EUR,0.12
IE000BI8OT95,MWRU,London Stock Exchange,Amundi Core MSCI World UCITS ETF Acc,USD,0.12
IE000BI8OT95,MWRL,London Stock Exchange,Amundi Core MSCI World UCITS ETF Acc,GBP,0.12
IE000BI8OT95,MWRD,SIX Swiss Exchange,Amundi Core MSCI World UCITS ETF Acc,USD,0.12
IE000BI8OT95,MWRD,XETRA,Amundi Core MSCI World UCITS ETF Acc,GBP,0.12
IE000BI8OT95,MWRE,XETRA,Amundi Core MSCI World UCITS ETF Acc,EUR,0.12
IE000XZSV718,SPYL,gettex,SPDR S&P 500 UCITS ETF (Acc),EUR,0.03
IE000XZSV718,SP5A,Borsa Italiana,SPDR S&P 500 UCITS ETF (Acc),EUR,0.03
IE000XZSV718,SPYL,Euronext Amsterdam,SPDR S&P 500 UCITS ETF (Acc),EUR,0.03
IE000XZSV718,SPYL,London Stock Exchange,SPDR S&P 500 UCITS ETF (Acc),USD,0.03
IE000XZSV718,SPXL,London Stock Exchange,SPDR S&P 500 UCITS ETF (Acc),GBP,0.03
IE000XZSV718,SPYL,SIX Swiss Exchange,SPDR S&P 500 UCITS ETF (Acc),USD,0.03
IE000XZSV718,SPYL,XETRA,SPDR S&P 500 UCITS ETF (Acc),EUR,0.03
IE00B3F81R35,EUN5,gettex,iShares Core EUR Corporate Bond UCITS ETF (Dist),EUR,0.09
IE00B3F81R35,EUN5,Stuttgart Stock Exchange,iShares Core EUR Corporate Bond UCITS ETF (Dist),EUR,0.09
IE00B3F81R35,IEAC,Borsa Italiana,iShares Core EUR Corporate Bond UCITS ETF (Dist),EUR,0.09
IE00B3F81R35,IEAC,Euronext Amsterdam,iShares Core EUR Corporate Bond UCITS ETF (Dist),EUR,0.09
IE00B3F81R35,IEBC,London Stock Exchange,iShares Core EUR Corporate Bond UCITS ETF (Dist),GBP,0.09
IE00B3F81R35,IEAC,London Stock Exchange,iShares Core EUR Corporate Bond UCITS ETF (Dist),EUR,0.09
