isin,listing,trade_currency,ticker,reuters_ric,bloomberg,market_maker
IE0002Y8CX98,London Stock Exchange,USD,EUDF,EUDF.L,EUDF LN,ABN AMRO Clearing Bank N.V. Banca Sella BNP Paribas Cantor Fitzgerald Europe Citadel Secruties (Europe) Limited Citigroup Global Markets Limited DRW Global Markets Ltd / Investments Flow Traders Goldenberg Hehmeyer LLP Goldman Sachs International Jane Street Financial Ltd Merrill Lynch International Morgan Stanley Old Mission Europe LLP Optiver VOF RBC Europe Limited Societe Generale SA Susquehanna International Securities LimitedUniCredit Bank AG Virtu Financial
IE0002Y8CX98,SIX Swiss Exchange,USD,WDEF,WDEF.S,WDEF SW,ABN AMRO Clearing Bank N.V. Banca Sella BNP Paribas Cantor Fitzgerald Europe Citadel Secruties (Europe) Limited Citigroup Global Markets Limited DRW Global Markets Ltd / Investments Flow Traders Goldenberg Hehmeyer LLP Goldman Sachs International Jane Street Financial Ltd Merrill Lynch International Morgan Stanley Old Mission Europe LLP Optiver VOF RBC Europe Limited Societe Generale SA Susquehanna International Securities LimitedUniCredit Bank AG Virtu Financial
IE0002Y8CX98,XETRA,EUR,EUDF,EUDF.DE,EUDF GY,ABN AMRO Clearing Bank N.V. Banca Sella BNP Paribas Cantor Fitzgerald Europe Citadel Secruties (Europe) Limited Citigroup Global Markets Limited DRW Global Markets Ltd / Investments Flow Traders Goldenberg Hehmeyer LLP Goldman Sachs International Jane Street Financial Ltd Merrill Lynch International Morgan Stanley Old Mission Europe LLP Optiver VOF RBC Europe Limited Societe Generale SA Susquehanna International Securities LimitedUniCredit Bank AG Virtu Financial
LU2263803533,gettex,EUR,XWD1,- -,- -,-
LU2263803533,London Stock Exchange,USD,XWD1,XWD1.L XWD1USDINAV=SOLA,XWD1 LN XWD1USIV,
LU2263803533,London Stock Exchange,GBP,XWOS,XWOS.L,XWOS LN,
LU2263803533,XETRA,EUR,XWD1,XWD1.DE XWD1USDINAV=SOLA,XWD1 GY XWD1USIV,
IE00BFZXGZ54,gettex,EUR,EQQB,- -,- -,-
IE00BFZXGZ54,Borsa Italiana,EUR,EQAC,EQAC.MI EQQQNAV.DE,EQAC IM EQQQ,Banca IMI S.p.A. Imc Trading B.V. Société Générale Susquehanna Timber Hill (Europe) UniCredit
IE00BFZXGZ54,SIX Swiss Exchange,USD,EQAC,EQAC.S EQQQNAV.DE,EQAC SW EQQQ,Banca IMI S.p.A. Imc Trading B.V. Société Générale Susquehanna Timber Hill (Europe) UniCredit
IE00BFZXGZ54,XETRA,EUR,EQQB,EQQB.DE EQACEUiv.P,EQQB GY EQACEUIV,Banca IMI S.p.A. Imc Trading B.V. Société Générale Susquehanna Timber Hill (Europe) UniCredit
IE00BMG6Z448,Borsa Italiana,EUR,EXCH,- -,- -,-
IE00BMG6Z448,gettex,EUR,84X0,- -,- -,-
IE00BMG6Z448,Bolsa Mexicana de Valores,MXN,-,EXCHN.MX,EXCHN MM,
IE00BMG6Z448,Euronext Amsterdam,USD,EXCH,EXCH.AS,EXCH NA,
IE00BMG6Z448,Euronext Paris,EUR,MTPI,,MTPI FP,
